instance_id,start,goal,num_nodes,num_edges,ground_truth_shortest_path,generated_text,parsed_path,output_format,parse_success,valid_path,optimal_path,path_length,shortest_length,num_generated_tokens,mean_selected_logprob,min_selected_logprob,max_selected_logprob,mean_token_entropy,max_token_entropy,min_token_entropy,num_attention_layers,mean_attention_entropy_all_layers,min_attention_entropy_all_layers,max_attention_entropy_all_layers,mean_attention_maxprob_all_layers,min_attention_maxprob_all_layers,max_attention_maxprob_all_layers,layer_0_mean_attention_entropy,layer_0_mean_attention_maxprob,layer_1_mean_attention_entropy,layer_1_mean_attention_maxprob,layer_2_mean_attention_entropy,layer_2_mean_attention_maxprob,layer_3_mean_attention_entropy,layer_3_mean_attention_maxprob,layer_4_mean_attention_entropy,layer_4_mean_attention_maxprob,layer_5_mean_attention_entropy,layer_5_mean_attention_maxprob,layer_6_mean_attention_entropy,layer_6_mean_attention_maxprob,layer_7_mean_attention_entropy,layer_7_mean_attention_maxprob,layer_8_mean_attention_entropy,layer_8_mean_attention_maxprob,layer_9_mean_attention_entropy,layer_9_mean_attention_maxprob,layer_10_mean_attention_entropy,layer_10_mean_attention_maxprob,layer_11_mean_attention_entropy,layer_11_mean_attention_maxprob,layer_12_mean_attention_entropy,layer_12_mean_attention_maxprob,layer_13_mean_attention_entropy,layer_13_mean_attention_maxprob,layer_14_mean_attention_entropy,layer_14_mean_attention_maxprob,layer_15_mean_attention_entropy,layer_15_mean_attention_maxprob,layer_16_mean_attention_entropy,layer_16_mean_attention_maxprob,layer_17_mean_attention_entropy,layer_17_mean_attention_maxprob,layer_18_mean_attention_entropy,layer_18_mean_attention_maxprob,layer_19_mean_attention_entropy,layer_19_mean_attention_maxprob,layer_20_mean_attention_entropy,layer_20_mean_attention_maxprob,layer_21_mean_attention_entropy,layer_21_mean_attention_maxprob,layer_22_mean_attention_entropy,layer_22_mean_attention_maxprob,layer_23_mean_attention_entropy,layer_23_mean_attention_maxprob,layer_24_mean_attention_entropy,layer_24_mean_attention_maxprob,layer_25_mean_attention_entropy,layer_25_mean_attention_maxprob,layer_26_mean_attention_entropy,layer_26_mean_attention_maxprob,layer_27_mean_attention_entropy,layer_27_mean_attention_maxprob,layer_28_mean_attention_entropy,layer_28_mean_attention_maxprob,layer_29_mean_attention_entropy,layer_29_mean_attention_maxprob,layer_30_mean_attention_entropy,layer_30_mean_attention_maxprob,layer_31_mean_attention_entropy,layer_31_mean_attention_maxprob
test_n10_p03_00010,6,1,10,27,"[6, 1]","{""path"": [6, 3, 0, 2, 4, 7, 5",,json_like,0,0,0,0,2,24,-0.12202305288550026,-0.8828006386756897,-1.4781842764932662e-05,0.23528356776417544,1.5522732734680176,0.00021722709061577916,32,1.702880859375,0.9921875,4.40625,0.597381591796875,0.0830078125,0.78125,4.40625,0.0830078125,3.671875,0.1845703125,3.53125,0.1884765625,1.34375,0.53125,1.3203125,0.53125,1.3046875,0.57421875,1.4765625,0.6171875,1.375,0.66796875,1.3046875,0.72265625,1.671875,0.62109375,1.53125,0.65625,1.8984375,0.5625,1.7421875,0.6015625,1.84375,0.59765625,1.96875,0.53515625,1.9375,0.55078125,1.890625,0.55078125,1.703125,0.6171875,1.6875,0.609375,1.703125,0.6015625,1.2578125,0.72265625,1.296875,0.71875,1.046875,0.78125,1.046875,0.76953125,0.9921875,0.78125,1.1015625,0.7421875,1.015625,0.76953125,1.140625,0.7421875,1.1796875,0.71484375,1.5078125,0.63671875,1.8203125,0.5625,1.7734375,0.5703125
test_n10_p03_00011,7,3,10,29,"[7, 4, 3]","[7, 0, 4, 3]",,list_like,0,0,0,0,3,24,-0.3170885501311507,-1.5051281452178955,-1.549708758830093e-05,0.9110526019406583,3.6162328720092773,0.00023257947759702802,32,1.7061767578125,0.98828125,4.40625,0.6038970947265625,0.08154296875,0.78515625,4.40625,0.08154296875,3.6875,0.1845703125,3.546875,0.18359375,1.515625,0.5234375,1.484375,0.52734375,1.3203125,0.6484375,1.4453125,0.66796875,1.3046875,0.7109375,1.3046875,0.72265625,1.6640625,0.62109375,1.5234375,0.66015625,1.8828125,0.56640625,1.7265625,0.60546875,1.828125,0.6015625,1.953125,0.54296875,1.9296875,0.55859375,1.8828125,0.55859375,1.671875,0.625,1.6875,0.609375,1.6953125,0.60546875,1.2421875,0.72265625,1.2890625,0.71484375,1.046875,0.78515625,1.03125,0.7734375,0.98828125,0.78515625,1.09375,0.74609375,1.0078125,0.76953125,1.140625,0.74609375,1.1875,0.7109375,1.5390625,0.62890625,1.8046875,0.56640625,1.765625,0.5703125
test_n10_p03_00012,2,4,10,28,"[2, 4]","{""path"": [2, 3, 4]}","[2, 3, 4]",json_like,1,0,0,3,2,16,-0.25580566974872454,-1.1002540588378906,-1.3232143828645349e-05,0.6922387778085977,3.230686902999878,0.00019112913287244737,32,1.6602783203125,0.9921875,4.40625,0.62017822265625,0.08203125,0.78125,4.40625,0.08203125,3.65625,0.1865234375,3.546875,0.1865234375,1.2421875,0.6640625,1.1796875,0.6796875,1.046875,0.75,1.234375,0.734375,1.15625,0.75,1.296875,0.72265625,1.640625,0.625,1.515625,0.66015625,1.8671875,0.56640625,1.7265625,0.6015625,1.8203125,0.6015625,1.9375,0.54296875,1.8984375,0.5625,1.875,0.55859375,1.6953125,0.62109375,1.671875,0.61328125,1.6796875,0.60546875,1.2265625,0.7265625,1.28125,0.71875,1.046875,0.78125,1.0234375,0.7734375,0.9921875,0.78125,1.0859375,0.74609375,0.99609375,0.76953125,1.125,0.74609375,1.1875,0.70703125,1.5390625,0.62890625,1.78125,0.57421875,1.75,0.578125
test_n10_p03_00013,0,9,10,23,"[0, 3, 2, 9]","[0, 3, 2, 9]",,list_like,0,0,0,0,4,24,-0.32084612118478617,-1.2915244102478027,-1.966933996300213e-05,0.9159212895671468,3.9535648822784424,0.00028868127265013754,32,1.7220458984375,0.98828125,4.375,0.5864105224609375,0.08349609375,0.78125,4.375,0.08349609375,3.640625,0.1865234375,3.5,0.1845703125,1.6015625,0.396484375,1.578125,0.40234375,1.5390625,0.5,1.6484375,0.5625,1.515625,0.62890625,1.28125,0.73046875,1.6328125,0.62890625,1.5078125,0.6640625,1.8671875,0.5703125,1.71875,0.60546875,1.8359375,0.59765625,1.9296875,0.55078125,1.890625,0.56640625,1.8671875,0.5625,1.6875,0.625,1.671875,0.61328125,1.6796875,0.609375,1.2265625,0.7265625,1.2734375,0.72265625,1.0546875,0.78125,1.0390625,0.76953125,0.98828125,0.78125,1.1015625,0.7421875,1.015625,0.765625,1.140625,0.7421875,1.1875,0.70703125,1.5390625,0.625,1.7890625,0.56640625,1.78125,0.56640625
test_n10_p03_00014,0,5,10,24,"[0, 4, 2, 3, 5]","{""path"": [0, 2, 6, 5]}","[0, 2, 6, 5]",json_like,1,0,0,4,5,24,-0.33075693594855693,-1.3616687059402466,-1.7523612768854946e-05,0.904411468255906,4.00940465927124,0.000245688104769215,32,1.6622314453125,0.98828125,4.375,0.6196136474609375,0.08349609375,0.78125,4.375,0.08349609375,3.640625,0.1865234375,3.546875,0.1865234375,1.25,0.66015625,1.171875,0.6796875,1.0625,0.7421875,1.25,0.73046875,1.1640625,0.75,1.296875,0.7265625,1.6328125,0.625,1.5078125,0.6640625,1.8671875,0.5703125,1.71875,0.60546875,1.828125,0.6015625,1.9375,0.546875,1.90625,0.5625,1.8828125,0.55859375,1.703125,0.62109375,1.671875,0.6171875,1.671875,0.609375,1.2109375,0.73046875,1.2734375,0.72265625,1.0546875,0.78125,1.0390625,0.76953125,0.98828125,0.78125,1.09375,0.74609375,1.015625,0.765625,1.15625,0.73828125,1.1875,0.70703125,1.546875,0.62109375,1.7734375,0.5703125,1.765625,0.56640625
test_n10_p03_00015,7,9,10,31,"[7, 3, 9]","[7, 3, 9]",,list_like,0,0,0,0,3,24,-0.2855597404398698,-1.8131346702575684,-4.5298504119273275e-05,0.8283309333807362,4.123965263366699,0.0006302593392319977,32,1.6927490234375,0.98828125,4.4375,0.6046142578125,0.080078125,0.78515625,4.4375,0.080078125,3.6875,0.1845703125,3.53125,0.1923828125,1.265625,0.578125,1.2265625,0.58203125,1.203125,0.6328125,1.390625,0.65234375,1.3125,0.69140625,1.2890625,0.7265625,1.671875,0.62109375,1.5234375,0.66015625,1.890625,0.56640625,1.734375,0.60546875,1.8359375,0.59765625,1.9609375,0.54296875,1.921875,0.55859375,1.9140625,0.55078125,1.7109375,0.62109375,1.6953125,0.609375,1.734375,0.59765625,1.28125,0.71484375,1.296875,0.71875,1.046875,0.78125,1.0390625,0.76953125,0.98828125,0.78515625,1.0859375,0.74609375,1.0078125,0.76953125,1.140625,0.74609375,1.1875,0.7109375,1.5546875,0.625,1.8203125,0.5625,1.78125,0.56640625
test_n10_p03_00016,8,2,10,31,"[8, 0, 4, 2]","[8, 3, 2]",,list_like,0,0,0,0,4,24,-0.29728427897180154,-1.7681236267089844,-3.93382906622719e-05,0.9053503194324245,4.188178062438965,0.0005588855710811913,32,1.7022705078125,0.99609375,4.4375,0.6002349853515625,0.08056640625,0.78515625,4.4375,0.08056640625,3.6875,0.1845703125,3.53125,0.1923828125,1.3203125,0.5390625,1.296875,0.5390625,1.265625,0.59765625,1.4375,0.6328125,1.3515625,0.6796875,1.2890625,0.7265625,1.6640625,0.62109375,1.5234375,0.66015625,1.8984375,0.5625,1.7421875,0.6015625,1.84375,0.59765625,1.9609375,0.5390625,1.9609375,0.55078125,1.9140625,0.55078125,1.6953125,0.625,1.703125,0.609375,1.71875,0.6015625,1.2734375,0.71875,1.3046875,0.71875,1.0546875,0.78515625,1.0390625,0.76953125,0.99609375,0.78125,1.09375,0.74609375,1.0234375,0.76953125,1.1484375,0.74609375,1.1953125,0.70703125,1.546875,0.62890625,1.8046875,0.56640625,1.75,0.578125
test_n10_p03_00017,7,9,10,31,"[7, 4, 3, 9]","[7, 4, 0, 8, 2, 6, 9]",,list_like,0,0,0,0,4,24,-0.24923889354696863,-1.033280611038208,-1.549708758830093e-05,0.5489970130280805,2.5864267349243164,0.00023853156017139554,32,1.7181396484375,0.984375,4.4375,0.5950469970703125,0.08056640625,0.78515625,4.4375,0.08056640625,3.703125,0.18359375,3.53125,0.185546875,1.5078125,0.49609375,1.4765625,0.498046875,1.3828125,0.56640625,1.53125,0.609375,1.3984375,0.66796875,1.3046875,0.72265625,1.6875,0.6171875,1.5234375,0.66015625,1.8984375,0.5625,1.7421875,0.6015625,1.8359375,0.59765625,1.9609375,0.5390625,1.921875,0.5546875,1.90625,0.55078125,1.7109375,0.6171875,1.6796875,0.61328125,1.7265625,0.59765625,1.265625,0.71875,1.28125,0.71875,1.0390625,0.78515625,1.0390625,0.76953125,0.984375,0.78515625,1.09375,0.74609375,0.99609375,0.7734375,1.125,0.74609375,1.1796875,0.7109375,1.5234375,0.6328125,1.8046875,0.56640625,1.78125,0.56640625
test_n10_p03_00018,9,0,10,22,"[9, 2, 0]","{""path"": [9, 2, 8, 6, 3, 0]}","[9, 2, 8, 6, 3, 0]",json_like,1,1,0,6,3,24,-0.15115455951555154,-0.8661287426948547,-1.1324817933200393e-05,0.37742971306518786,2.3726511001586914,0.0001681056310189888,32,1.7015380859375,0.99609375,4.375,0.595062255859375,0.0830078125,0.78125,4.375,0.0830078125,3.609375,0.1884765625,3.484375,0.1923828125,1.390625,0.50390625,1.3671875,0.50390625,1.3515625,0.546875,1.5078125,0.6015625,1.40625,0.65625,1.3046875,0.72265625,1.640625,0.625,1.515625,0.6640625,1.875,0.56640625,1.71875,0.60546875,1.828125,0.59765625,1.9453125,0.54296875,1.921875,0.55859375,1.8984375,0.5546875,1.7265625,0.61328125,1.6875,0.61328125,1.6796875,0.609375,1.234375,0.7265625,1.28125,0.71875,1.0546875,0.78125,1.0390625,0.76953125,0.99609375,0.78125,1.109375,0.7421875,1.0234375,0.765625,1.1484375,0.7421875,1.1953125,0.70703125,1.546875,0.625,1.796875,0.56640625,1.7890625,0.56640625
test_n10_p03_00019,2,0,10,22,"[2, 4, 8, 0]","{""path"": [2, 3, 1, 6, 0]}","[2, 3, 1, 6, 0]",json_like,1,0,0,5,4,24,-0.25490691045373143,-1.348127007484436,-1.3589766240329482e-05,0.759743464870553,4.008278846740723,0.00019933326984755695,32,1.6917724609375,0.99609375,4.34375,0.599822998046875,0.083984375,0.78125,4.34375,0.083984375,3.625,0.1875,3.53125,0.1884765625,1.34375,0.52734375,1.3046875,0.53125,1.296875,0.5859375,1.453125,0.62890625,1.3515625,0.67578125,1.28125,0.7265625,1.6328125,0.62890625,1.515625,0.6640625,1.875,0.56640625,1.7265625,0.60546875,1.8359375,0.59765625,1.9609375,0.5390625,1.9375,0.55078125,1.875,0.55859375,1.7109375,0.6171875,1.6796875,0.609375,1.6875,0.6015625,1.25,0.72265625,1.296875,0.71484375,1.078125,0.77734375,1.0390625,0.76953125,0.99609375,0.78125,1.1015625,0.7421875,1.0078125,0.76953125,1.140625,0.7421875,1.1953125,0.70703125,1.546875,0.625,1.765625,0.58203125,1.75,0.5859375
