instance_id,split,num_nodes,edge_prob,num_edges,start,goal,shortest_path,shortest_path_length,graph_json,graph_text
train_n20_p02_00558,train,20,0.2,76,6,15,"[6, 7, 8, 15]",4,"{""0"": [1, 4, 10, 12, 17], ""1"": [0, 2, 3, 6, 10, 11, 19], ""2"": [], ""3"": [8, 14], ""4"": [7, 12, 17], ""5"": [2, 6, 7, 10, 15], ""6"": [7, 11], ""7"": [8, 10, 14], ""8"": [15], ""9"": [3, 12, 13, 15], ""10"": [5, 6, 12], ""11"": [7, 14], ""12"": [8, 16], ""13"": [1, 4, 7, 14, 15, 19], ""14"": [0, 8, 15], ""15"": [1, 5, 7, 8, 13, 17], ""16"": [1, 4, 9, 12, 14, 17], ""17"": [2, 4, 5, 11], ""18"": [2, 7, 12, 15, 19], ""19"": [0, 2, 6, 7, 8, 11, 15]}","0: [1, 4, 10, 12, 17]
1: [0, 2, 3, 6, 10, 11, 19]
2: []
3: [8, 14]
4: [7, 12, 17]
5: [2, 6, 7, 10, 15]
6: [7, 11]
7: [8, 10, 14]
8: [15]
9: [3, 12, 13, 15]
10: [5, 6, 12]
11: [7, 14]
12: [8, 16]
13: [1, 4, 7, 14, 15, 19]
14: [0, 8, 15]
15: [1, 5, 7, 8, 13, 17]
16: [1, 4, 9, 12, 14, 17]
17: [2, 4, 5, 11]
18: [2, 7, 12, 15, 19]
19: [0, 2, 6, 7, 8, 11, 15]"
train_n5_p035_00181,train,5,0.35,6,1,2,"[1, 2]",2,"{""0"": [3, 4], ""1"": [2], ""2"": [], ""3"": [1, 2], ""4"": [1]}","0: [3, 4]
1: [2]
2: []
3: [1, 2]
4: [1]"
train_n5_p035_00444,train,5,0.35,8,0,2,"[0, 2]",2,"{""0"": [2], ""1"": [2, 4], ""2"": [0, 3], ""3"": [0], ""4"": [0, 2]}","0: [2]
1: [2, 4]
2: [0, 3]
3: [0]
4: [0, 2]"
train_n5_p035_00334,train,5,0.35,6,2,1,"[2, 0, 1]",3,"{""0"": [1], ""1"": [2], ""2"": [0, 4], ""3"": [], ""4"": [1, 3]}","0: [1]
1: [2]
2: [0, 4]
3: []
4: [1, 3]"
train_n20_p02_00610,train,20,0.2,88,17,7,"[17, 11, 6, 7]",4,"{""0"": [2, 6, 8, 10, 11, 14, 15, 19], ""1"": [0, 7, 8, 15], ""2"": [6, 10, 19], ""3"": [1, 6, 7, 16, 17, 19], ""4"": [2, 5, 16], ""5"": [0, 7, 10, 12, 17], ""6"": [1, 2, 7, 14], ""7"": [1, 6, 18], ""8"": [9, 10, 16, 18], ""9"": [0, 4, 10, 11, 12], ""10"": [2, 5], ""11"": [0, 4, 6, 12, 16, 17], ""12"": [3, 10, 11, 14, 15, 16], ""13"": [2, 8, 18], ""14"": [1, 3, 4, 9, 10, 17, 19], ""15"": [4, 6, 7, 9, 12], ""16"": [3, 6, 17, 18], ""17"": [11], ""18"": [4, 6, 9, 10, 14], ""19"": [3, 6, 10, 15]}","0: [2, 6, 8, 10, 11, 14, 15, 19]
1: [0, 7, 8, 15]
2: [6, 10, 19]
3: [1, 6, 7, 16, 17, 19]
4: [2, 5, 16]
5: [0, 7, 10, 12, 17]
6: [1, 2, 7, 14]
7: [1, 6, 18]
8: [9, 10, 16, 18]
9: [0, 4, 10, 11, 12]
10: [2, 5]
11: [0, 4, 6, 12, 16, 17]
12: [3, 10, 11, 14, 15, 16]
13: [2, 8, 18]
14: [1, 3, 4, 9, 10, 17, 19]
15: [4, 6, 7, 9, 12]
16: [3, 6, 17, 18]
17: [11]
18: [4, 6, 9, 10, 14]
19: [3, 6, 10, 15]"
train_n20_p02_00298,train,20,0.2,74,16,5,"[16, 19, 12, 5]",4,"{""0"": [10, 12], ""1"": [2, 8, 15], ""2"": [1, 15], ""3"": [12, 14, 18, 19], ""4"": [3, 6, 16], ""5"": [1, 4, 6, 7, 10, 16, 17], ""6"": [4, 17, 19], ""7"": [2, 5, 17, 18], ""8"": [0, 2, 6, 10, 15, 17, 18], ""9"": [6, 14, 19], ""10"": [6, 9, 12, 14, 15], ""11"": [5, 9], ""12"": [4, 5, 11, 16], ""13"": [4, 6, 8, 12, 15, 16], ""14"": [0, 1, 12, 17], ""15"": [1, 8, 19], ""16"": [4, 18, 19], ""17"": [2, 6, 9], ""18"": [14, 15], ""19"": [2, 10, 12, 14]}","0: [10, 12]
1: [2, 8, 15]
2: [1, 15]
3: [12, 14, 18, 19]
4: [3, 6, 16]
5: [1, 4, 6, 7, 10, 16, 17]
6: [4, 17, 19]
7: [2, 5, 17, 18]
8: [0, 2, 6, 10, 15, 17, 18]
9: [6, 14, 19]
10: [6, 9, 12, 14, 15]
11: [5, 9]
12: [4, 5, 11, 16]
13: [4, 6, 8, 12, 15, 16]
14: [0, 1, 12, 17]
15: [1, 8, 19]
16: [4, 18, 19]
17: [2, 6, 9]
18: [14, 15]
19: [2, 10, 12, 14]"
train_n15_p025_00200,train,15,0.25,52,3,11,"[3, 10, 11]",3,"{""0"": [2, 6, 11], ""1"": [0, 2, 5, 6, 7, 9, 14], ""2"": [5, 7, 14], ""3"": [1, 2, 10], ""4"": [11, 12], ""5"": [9], ""6"": [1, 4], ""7"": [0, 5, 12, 14], ""8"": [2, 7, 13], ""9"": [1, 6, 7, 12], ""10"": [4, 5, 7, 11, 14], ""11"": [2, 6], ""12"": [0, 1, 5, 10], ""13"": [2, 7, 8, 9, 11], ""14"": [2, 7, 10, 12]}","0: [2, 6, 11]
1: [0, 2, 5, 6, 7, 9, 14]
2: [5, 7, 14]
3: [1, 2, 10]
4: [11, 12]
5: [9]
6: [1, 4]
7: [0, 5, 12, 14]
8: [2, 7, 13]
9: [1, 6, 7, 12]
10: [4, 5, 7, 11, 14]
11: [2, 6]
12: [0, 1, 5, 10]
13: [2, 7, 8, 9, 11]
14: [2, 7, 10, 12]"
train_n20_p02_00472,train,20,0.2,77,14,4,"[14, 7, 4]",3,"{""0"": [], ""1"": [2, 4, 5, 11, 12, 13, 19], ""2"": [1, 7, 10, 17], ""3"": [8, 11, 12, 15, 16, 18, 19], ""4"": [6, 19], ""5"": [1, 2], ""6"": [9, 17], ""7"": [4, 5, 15, 19], ""8"": [1, 2, 4, 7, 15], ""9"": [2, 4, 19], ""10"": [2, 11, 14, 15, 18], ""11"": [0, 1, 6, 12, 14, 16], ""12"": [3, 6, 7, 9, 10, 14, 15], ""13"": [2, 9], ""14"": [3, 7, 17, 19], ""15"": [4, 6, 7, 12], ""16"": [5, 12], ""17"": [4, 15, 18, 19], ""18"": [1, 2, 3, 15, 17], ""19"": [1, 10]}","0: []
1: [2, 4, 5, 11, 12, 13, 19]
2: [1, 7, 10, 17]
3: [8, 11, 12, 15, 16, 18, 19]
4: [6, 19]
5: [1, 2]
6: [9, 17]
7: [4, 5, 15, 19]
8: [1, 2, 4, 7, 15]
9: [2, 4, 19]
10: [2, 11, 14, 15, 18]
11: [0, 1, 6, 12, 14, 16]
12: [3, 6, 7, 9, 10, 14, 15]
13: [2, 9]
14: [3, 7, 17, 19]
15: [4, 6, 7, 12]
16: [5, 12]
17: [4, 15, 18, 19]
18: [1, 2, 3, 15, 17]
19: [1, 10]"
train_n5_p035_00659,train,5,0.35,7,2,4,"[2, 4]",2,"{""0"": [1], ""1"": [0], ""2"": [0, 4], ""3"": [0, 2], ""4"": [3]}","0: [1]
1: [0]
2: [0, 4]
3: [0, 2]
4: [3]"
train_n5_p035_00705,train,5,0.35,6,4,1,"[4, 3, 1]",3,"{""0"": [2], ""1"": [], ""2"": [0, 1], ""3"": [0, 1], ""4"": [3]}","0: [2]
1: []
2: [0, 1]
3: [0, 1]
4: [3]"
train_n5_p035_00292,train,5,0.35,7,1,0,"[1, 0]",2,"{""0"": [1], ""1"": [0, 2, 3, 4], ""2"": [1], ""3"": [0], ""4"": []}","0: [1]
1: [0, 2, 3, 4]
2: [1]
3: [0]
4: []"
train_n10_p03_00658,train,10,0.3,21,2,9,"[2, 6, 0, 9]",4,"{""0"": [6, 9], ""1"": [0, 7, 8], ""2"": [6], ""3"": [8], ""4"": [3, 5], ""5"": [0, 4, 6], ""6"": [0, 2], ""7"": [0, 1, 9], ""8"": [2, 4], ""9"": [0, 8]}","0: [6, 9]
1: [0, 7, 8]
2: [6]
3: [8]
4: [3, 5]
5: [0, 4, 6]
6: [0, 2]
7: [0, 1, 9]
8: [2, 4]
9: [0, 8]"
train_n10_p03_00361,train,10,0.3,28,0,8,"[0, 3, 7, 8]",4,"{""0"": [3, 4], ""1"": [3, 5], ""2"": [0, 1, 3, 4, 6], ""3"": [1, 2, 5, 7, 9], ""4"": [0, 2, 7], ""5"": [0, 6], ""6"": [0, 2, 9], ""7"": [0, 5, 8], ""8"": [0], ""9"": [4, 7]}","0: [3, 4]
1: [3, 5]
2: [0, 1, 3, 4, 6]
3: [1, 2, 5, 7, 9]
4: [0, 2, 7]
5: [0, 6]
6: [0, 2, 9]
7: [0, 5, 8]
8: [0]
9: [4, 7]"
train_n10_p03_00409,train,10,0.3,26,3,6,"[3, 6]",2,"{""0"": [1, 7], ""1"": [], ""2"": [1, 4, 6], ""3"": [5, 6, 7, 9], ""4"": [0, 3], ""5"": [0, 1, 4], ""6"": [1, 4, 8], ""7"": [2, 4, 6], ""8"": [9], ""9"": [1, 2, 4, 5, 7]}","0: [1, 7]
1: []
2: [1, 4, 6]
3: [5, 6, 7, 9]
4: [0, 3]
5: [0, 1, 4]
6: [1, 4, 8]
7: [2, 4, 6]
8: [9]
9: [1, 2, 4, 5, 7]"
train_n20_p02_00671,train,20,0.2,77,19,18,"[19, 17, 18]",3,"{""0"": [8, 12], ""1"": [5, 7, 11, 14, 18], ""2"": [1, 8, 10, 13, 18], ""3"": [11], ""4"": [0, 1, 3, 5], ""5"": [2, 4, 17], ""6"": [2, 11, 18], ""7"": [0, 5, 6, 19], ""8"": [2, 6, 9, 17], ""9"": [3, 5, 12, 15, 18], ""10"": [1, 7, 11, 16], ""11"": [5, 8], ""12"": [9], ""13"": [2, 4, 6, 7, 9, 11, 14, 16], ""14"": [0, 2, 6, 16, 17], ""15"": [1, 2, 9, 13, 19], ""16"": [0, 5, 6, 7, 11], ""17"": [0, 3, 5, 18, 19], ""18"": [10, 15, 17], ""19"": [5, 15, 17]}","0: [8, 12]
1: [5, 7, 11, 14, 18]
2: [1, 8, 10, 13, 18]
3: [11]
4: [0, 1, 3, 5]
5: [2, 4, 17]
6: [2, 11, 18]
7: [0, 5, 6, 19]
8: [2, 6, 9, 17]
9: [3, 5, 12, 15, 18]
10: [1, 7, 11, 16]
11: [5, 8]
12: [9]
13: [2, 4, 6, 7, 9, 11, 14, 16]
14: [0, 2, 6, 16, 17]
15: [1, 2, 9, 13, 19]
16: [0, 5, 6, 7, 11]
17: [0, 3, 5, 18, 19]
18: [10, 15, 17]
19: [5, 15, 17]"
train_n5_p035_00098,train,5,0.35,4,0,2,"[0, 3, 4, 2]",4,"{""0"": [3], ""1"": [0], ""2"": [], ""3"": [4], ""4"": [2]}","0: [3]
1: [0]
2: []
3: [4]
4: [2]"
train_n5_p035_00378,train,5,0.35,7,1,0,"[1, 3, 2, 0]",4,"{""0"": [3], ""1"": [3], ""2"": [0, 4], ""3"": [1, 2, 4], ""4"": []}","0: [3]
1: [3]
2: [0, 4]
3: [1, 2, 4]
4: []"
train_n20_p02_00516,train,20,0.2,80,18,14,"[18, 1, 14]",3,"{""0"": [9, 12, 18], ""1"": [3, 4, 14, 17, 18], ""2"": [8, 11, 13, 19], ""3"": [4, 10, 18], ""4"": [0, 2, 13, 17], ""5"": [6, 7, 9, 11, 18], ""6"": [9, 12, 15, 18], ""7"": [2, 10, 11, 16], ""8"": [7, 14], ""9"": [3, 4, 16], ""10"": [8, 9, 15], ""11"": [7, 9, 10, 13], ""12"": [3, 5, 7, 10, 14, 17, 19], ""13"": [1, 5, 17, 18], ""14"": [0, 11, 12, 16, 19], ""15"": [8, 17, 19], ""16"": [1, 6, 12, 14, 19], ""17"": [2, 3, 7, 12, 18], ""18"": [0, 1, 6], ""19"": [6, 9, 12, 18]}","0: [9, 12, 18]
1: [3, 4, 14, 17, 18]
2: [8, 11, 13, 19]
3: [4, 10, 18]
4: [0, 2, 13, 17]
5: [6, 7, 9, 11, 18]
6: [9, 12, 15, 18]
7: [2, 10, 11, 16]
8: [7, 14]
9: [3, 4, 16]
10: [8, 9, 15]
11: [7, 9, 10, 13]
12: [3, 5, 7, 10, 14, 17, 19]
13: [1, 5, 17, 18]
14: [0, 11, 12, 16, 19]
15: [8, 17, 19]
16: [1, 6, 12, 14, 19]
17: [2, 3, 7, 12, 18]
18: [0, 1, 6]
19: [6, 9, 12, 18]"
train_n10_p03_00606,train,10,0.3,27,2,3,"[2, 8, 3]",3,"{""0"": [3, 4, 7], ""1"": [3, 6], ""2"": [8], ""3"": [1, 4, 5, 7, 8], ""4"": [1, 9], ""5"": [1], ""6"": [4, 7, 8, 9], ""7"": [2, 3, 6], ""8"": [1, 3], ""9"": [3, 4, 7, 8]}","0: [3, 4, 7]
1: [3, 6]
2: [8]
3: [1, 4, 5, 7, 8]
4: [1, 9]
5: [1]
6: [4, 7, 8, 9]
7: [2, 3, 6]
8: [1, 3]
9: [3, 4, 7, 8]"
train_n10_p03_00288,train,10,0.3,31,7,1,"[7, 4, 1]",3,"{""0"": [], ""1"": [0, 5, 7, 8, 9], ""2"": [1], ""3"": [0, 4, 5, 7, 9], ""4"": [1, 5], ""5"": [0, 2, 3], ""6"": [0, 1, 2, 5], ""7"": [4, 6, 9], ""8"": [1, 5, 7], ""9"": [3, 4, 5, 7, 8]}","0: []
1: [0, 5, 7, 8, 9]
2: [1]
3: [0, 4, 5, 7, 9]
4: [1, 5]
5: [0, 2, 3]
6: [0, 1, 2, 5]
7: [4, 6, 9]
8: [1, 5, 7]
9: [3, 4, 5, 7, 8]"
train_n5_p035_00337,train,5,0.35,3,2,0,"[2, 0]",2,"{""0"": [], ""1"": [2], ""2"": [0, 3], ""3"": [], ""4"": []}","0: []
1: [2]
2: [0, 3]
3: []
4: []"
train_n15_p025_00361,train,15,0.25,64,13,14,"[13, 7, 14]",3,"{""0"": [2, 5, 10, 13, 14], ""1"": [3, 6], ""2"": [7, 9, 13, 14], ""3"": [0, 8, 9, 10], ""4"": [0, 1, 6, 7, 8, 10, 13], ""5"": [1, 2, 4, 8, 11, 12, 14], ""6"": [4, 5, 7, 13], ""7"": [1, 10, 14], ""8"": [0, 2, 6, 9, 14], ""9"": [6, 10], ""10"": [0, 1, 3, 6], ""11"": [3, 6, 8, 12, 13, 14], ""12"": [6, 10, 14], ""13"": [1, 7, 8], ""14"": [2, 6, 7, 8, 10]}","0: [2, 5, 10, 13, 14]
1: [3, 6]
2: [7, 9, 13, 14]
3: [0, 8, 9, 10]
4: [0, 1, 6, 7, 8, 10, 13]
5: [1, 2, 4, 8, 11, 12, 14]
6: [4, 5, 7, 13]
7: [1, 10, 14]
8: [0, 2, 6, 9, 14]
9: [6, 10]
10: [0, 1, 3, 6]
11: [3, 6, 8, 12, 13, 14]
12: [6, 10, 14]
13: [1, 7, 8]
14: [2, 6, 7, 8, 10]"
train_n10_p03_00476,train,10,0.3,25,7,6,"[7, 6]",2,"{""0"": [1, 7, 9], ""1"": [3, 7, 9], ""2"": [3, 5, 8], ""3"": [0], ""4"": [0, 3], ""5"": [6], ""6"": [1, 7], ""7"": [1, 6], ""8"": [0, 2, 4, 5], ""9"": [0, 1, 4, 6]}","0: [1, 7, 9]
1: [3, 7, 9]
2: [3, 5, 8]
3: [0]
4: [0, 3]
5: [6]
6: [1, 7]
7: [1, 6]
8: [0, 2, 4, 5]
9: [0, 1, 4, 6]"
train_n10_p03_00457,train,10,0.3,26,2,8,"[2, 8]",2,"{""0"": [4, 6, 9], ""1"": [2, 9], ""2"": [3, 4, 5, 7, 8], ""3"": [2, 6], ""4"": [], ""5"": [1, 6, 9], ""6"": [0, 2, 4], ""7"": [1, 2], ""8"": [0, 3, 7, 9], ""9"": [2, 6]}","0: [4, 6, 9]
1: [2, 9]
2: [3, 4, 5, 7, 8]
3: [2, 6]
4: []
5: [1, 6, 9]
6: [0, 2, 4]
7: [1, 2]
8: [0, 3, 7, 9]
9: [2, 6]"
train_n15_p025_00711,train,15,0.25,59,11,5,"[11, 5]",2,"{""0"": [2, 8, 9, 11, 13], ""1"": [3, 5, 13], ""2"": [1, 5, 7, 10, 12, 14], ""3"": [6, 8, 11], ""4"": [2, 6, 7], ""5"": [4, 9], ""6"": [1, 3, 5, 8, 9], ""7"": [1, 2, 3, 4, 5, 10], ""8"": [3, 5, 9, 10, 13], ""9"": [0, 3, 10, 11, 12], ""10"": [2, 4, 8, 13], ""11"": [1, 5, 6, 10], ""12"": [0, 3, 4], ""13"": [0, 4, 6], ""14"": [2, 4]}","0: [2, 8, 9, 11, 13]
1: [3, 5, 13]
2: [1, 5, 7, 10, 12, 14]
3: [6, 8, 11]
4: [2, 6, 7]
5: [4, 9]
6: [1, 3, 5, 8, 9]
7: [1, 2, 3, 4, 5, 10]
8: [3, 5, 9, 10, 13]
9: [0, 3, 10, 11, 12]
10: [2, 4, 8, 13]
11: [1, 5, 6, 10]
12: [0, 3, 4]
13: [0, 4, 6]
14: [2, 4]"
train_n15_p025_00288,train,15,0.25,47,7,12,"[7, 5, 12]",3,"{""0"": [1, 6], ""1"": [6, 10], ""2"": [6, 7], ""3"": [5, 6, 7], ""4"": [0, 3, 9, 10, 12], ""5"": [9, 12], ""6"": [0, 1, 3, 5, 8, 14], ""7"": [2, 5, 11, 14], ""8"": [7, 10], ""9"": [6, 12, 14], ""10"": [8, 9, 12, 13], ""11"": [1, 5, 10], ""12"": [13, 14], ""13"": [3, 9, 10], ""14"": [4, 7, 11, 13]}","0: [1, 6]
1: [6, 10]
2: [6, 7]
3: [5, 6, 7]
4: [0, 3, 9, 10, 12]
5: [9, 12]
6: [0, 1, 3, 5, 8, 14]
7: [2, 5, 11, 14]
8: [7, 10]
9: [6, 12, 14]
10: [8, 9, 12, 13]
11: [1, 5, 10]
12: [13, 14]
13: [3, 9, 10]
14: [4, 7, 11, 13]"
train_n10_p03_00359,train,10,0.3,29,2,3,"[2, 7, 3]",3,"{""0"": [3, 5, 7, 9], ""1"": [0, 4, 5, 6, 8, 9], ""2"": [1, 6, 7, 8], ""3"": [7, 8, 9], ""4"": [], ""5"": [0, 1, 6, 7], ""6"": [1, 9], ""7"": [0, 3, 4], ""8"": [0], ""9"": [4, 5]}","0: [3, 5, 7, 9]
1: [0, 4, 5, 6, 8, 9]
2: [1, 6, 7, 8]
3: [7, 8, 9]
4: []
5: [0, 1, 6, 7]
6: [1, 9]
7: [0, 3, 4]
8: [0]
9: [4, 5]"
train_n5_p035_00106,train,5,0.35,13,2,0,"[2, 0]",2,"{""0"": [3, 4], ""1"": [0, 3, 4], ""2"": [0, 1, 4], ""3"": [0, 2], ""4"": [1, 2, 3]}","0: [3, 4]
1: [0, 3, 4]
2: [0, 1, 4]
3: [0, 2]
4: [1, 2, 3]"
train_n5_p035_00000,train,5,0.35,8,4,0,"[4, 0]",2,"{""0"": [], ""1"": [0, 2, 3], ""2"": [], ""3"": [2, 4], ""4"": [0, 1, 2]}","0: []
1: [0, 2, 3]
2: []
3: [2, 4]
4: [0, 1, 2]"
train_n15_p025_00309,train,15,0.25,58,12,8,"[12, 11, 8]",3,"{""0"": [3, 8, 10, 14], ""1"": [2, 3, 5, 6, 7, 12, 13], ""2"": [6, 7, 11], ""3"": [2, 4, 5, 6, 8, 11, 14], ""4"": [3, 7, 9, 12, 13], ""5"": [1, 6, 8], ""6"": [0, 5], ""7"": [0, 5, 9], ""8"": [0, 7, 12], ""9"": [2, 5, 12], ""10"": [3, 11, 13], ""11"": [6, 8, 10], ""12"": [9, 11], ""13"": [0, 2, 5, 7, 8, 12], ""14"": [2, 3, 8, 9]}","0: [3, 8, 10, 14]
1: [2, 3, 5, 6, 7, 12, 13]
2: [6, 7, 11]
3: [2, 4, 5, 6, 8, 11, 14]
4: [3, 7, 9, 12, 13]
5: [1, 6, 8]
6: [0, 5]
7: [0, 5, 9]
8: [0, 7, 12]
9: [2, 5, 12]
10: [3, 11, 13]
11: [6, 8, 10]
12: [9, 11]
13: [0, 2, 5, 7, 8, 12]
14: [2, 3, 8, 9]"
train_n5_p035_00104,train,5,0.35,9,0,2,"[0, 1, 2]",3,"{""0"": [1], ""1"": [2], ""2"": [0, 1, 3], ""3"": [0], ""4"": [1, 2, 3]}","0: [1]
1: [2]
2: [0, 1, 3]
3: [0]
4: [1, 2, 3]"
